week,topic_label_selected,count,share
2024-12-30/2025-01-05,Dukungan Gizi dan Nasionalisme,18,0.21428571428571427
2024-12-30/2025-01-05,Kritik Anggaran dan Implementasi,34,0.40476190476190477
2024-12-30/2025-01-05,Operasional dan Implementasi MBG,32,0.38095238095238093
2025-01-06/2025-01-12,Dukungan Gizi dan Nasionalisme,82,0.2578616352201258
2025-01-06/2025-01-12,Kritik Anggaran dan Implementasi,166,0.5220125786163522
2025-01-06/2025-01-12,Operasional dan Implementasi MBG,70,0.22012578616352202
2025-01-13/2025-01-19,Dukungan Gizi dan Nasionalisme,62,0.13716814159292035
2025-01-13/2025-01-19,Kritik Anggaran dan Implementasi,322,0.7123893805309734
2025-01-13/2025-01-19,Operasional dan Implementasi MBG,68,0.1504424778761062
2025-01-20/2025-01-26,Dukungan Gizi dan Nasionalisme,86,0.19953596287703015
2025-01-20/2025-01-26,Kritik Anggaran dan Implementasi,265,0.6148491879350348
2025-01-20/2025-01-26,Operasional dan Implementasi MBG,80,0.18561484918793503
2025-01-27/2025-02-02,Dukungan Gizi dan Nasionalisme,60,0.26905829596412556
2025-01-27/2025-02-02,Kritik Anggaran dan Implementasi,134,0.600896860986547
2025-01-27/2025-02-02,Operasional dan Implementasi MBG,29,0.13004484304932734
2025-02-03/2025-02-09,Dukungan Gizi dan Nasionalisme,44,0.11827956989247312
2025-02-03/2025-02-09,Kritik Anggaran dan Implementasi,288,0.7741935483870968
2025-02-03/2025-02-09,Operasional dan Implementasi MBG,40,0.10752688172043011
2025-02-10/2025-02-16,Dukungan Gizi dan Nasionalisme,48,0.12276214833759591
2025-02-10/2025-02-16,Kritik Anggaran dan Implementasi,315,0.8056265984654731
2025-02-10/2025-02-16,Operasional dan Implementasi MBG,28,0.07161125319693094
2025-02-17/2025-02-23,Dukungan Gizi dan Nasionalisme,39,0.125
2025-02-17/2025-02-23,Kritik Anggaran dan Implementasi,235,0.7532051282051282
2025-02-17/2025-02-23,Operasional dan Implementasi MBG,38,0.12179487179487179
2025-02-24/2025-03-02,Dukungan Gizi dan Nasionalisme,69,0.24642857142857144
2025-02-24/2025-03-02,Kritik Anggaran dan Implementasi,185,0.6607142857142857
2025-02-24/2025-03-02,Operasional dan Implementasi MBG,26,0.09285714285714286
2025-03-03/2025-03-09,Dukungan Gizi dan Nasionalisme,45,0.22727272727272727
2025-03-03/2025-03-09,Kritik Anggaran dan Implementasi,126,0.6363636363636364
2025-03-03/2025-03-09,Operasional dan Implementasi MBG,27,0.13636363636363635
2025-03-10/2025-03-16,Dukungan Gizi dan Nasionalisme,63,0.22743682310469315
2025-03-10/2025-03-16,Kritik Anggaran dan Implementasi,175,0.631768953068592
2025-03-10/2025-03-16,Operasional dan Implementasi MBG,39,0.1407942238267148
2025-03-17/2025-03-23,Dukungan Gizi dan Nasionalisme,40,0.1724137931034483
2025-03-17/2025-03-23,Kritik Anggaran dan Implementasi,174,0.75
2025-03-17/2025-03-23,Operasional dan Implementasi MBG,18,0.07758620689655173
2025-03-24/2025-03-30,Dukungan Gizi dan Nasionalisme,90,0.2571428571428571
2025-03-24/2025-03-30,Kritik Anggaran dan Implementasi,244,0.6971428571428572
2025-03-24/2025-03-30,Operasional dan Implementasi MBG,16,0.045714285714285714
2025-03-31/2025-04-06,Dukungan Gizi dan Nasionalisme,48,0.24742268041237114
2025-03-31/2025-04-06,Kritik Anggaran dan Implementasi,131,0.6752577319587629
2025-03-31/2025-04-06,Operasional dan Implementasi MBG,15,0.07731958762886598
2025-04-07/2025-04-13,Dukungan Gizi dan Nasionalisme,79,0.4647058823529412
2025-04-07/2025-04-13,Kritik Anggaran dan Implementasi,82,0.4823529411764706
2025-04-07/2025-04-13,Operasional dan Implementasi MBG,9,0.052941176470588235
2025-04-14/2025-04-20,Dukungan Gizi dan Nasionalisme,109,0.36212624584717606
2025-04-14/2025-04-20,Kritik Anggaran dan Implementasi,160,0.53156146179402
2025-04-14/2025-04-20,Operasional dan Implementasi MBG,32,0.10631229235880399
2025-04-21/2025-04-27,Dukungan Gizi dan Nasionalisme,64,0.28444444444444444
2025-04-21/2025-04-27,Kritik Anggaran dan Implementasi,144,0.64
2025-04-21/2025-04-27,Operasional dan Implementasi MBG,17,0.07555555555555556
2025-04-28/2025-05-04,Dukungan Gizi dan Nasionalisme,83,0.22865013774104684
2025-04-28/2025-05-04,Kritik Anggaran dan Implementasi,228,0.628099173553719
2025-04-28/2025-05-04,Operasional dan Implementasi MBG,52,0.14325068870523416
2025-05-05/2025-05-11,Dukungan Gizi dan Nasionalisme,74,0.16780045351473924
2025-05-05/2025-05-11,Kritik Anggaran dan Implementasi,324,0.7346938775510204
2025-05-05/2025-05-11,Operasional dan Implementasi MBG,43,0.09750566893424037
2025-05-12/2025-05-18,Dukungan Gizi dan Nasionalisme,83,0.2881944444444444
2025-05-12/2025-05-18,Kritik Anggaran dan Implementasi,163,0.5659722222222222
2025-05-12/2025-05-18,Operasional dan Implementasi MBG,42,0.14583333333333334
2025-05-19/2025-05-25,Dukungan Gizi dan Nasionalisme,86,0.3115942028985507
2025-05-19/2025-05-25,Kritik Anggaran dan Implementasi,163,0.5905797101449275
2025-05-19/2025-05-25,Operasional dan Implementasi MBG,27,0.09782608695652174
2025-05-26/2025-06-01,Dukungan Gizi dan Nasionalisme,81,0.2862190812720848
2025-05-26/2025-06-01,Kritik Anggaran dan Implementasi,176,0.6219081272084805
2025-05-26/2025-06-01,Operasional dan Implementasi MBG,26,0.09187279151943463
2025-06-02/2025-06-08,Dukungan Gizi dan Nasionalisme,84,0.3076923076923077
2025-06-02/2025-06-08,Kritik Anggaran dan Implementasi,173,0.6336996336996337
2025-06-02/2025-06-08,Operasional dan Implementasi MBG,16,0.05860805860805861
2025-06-09/2025-06-15,Dukungan Gizi dan Nasionalisme,132,0.4036697247706422
2025-06-09/2025-06-15,Kritik Anggaran dan Implementasi,174,0.5321100917431193
2025-06-09/2025-06-15,Operasional dan Implementasi MBG,21,0.06422018348623854
2025-06-16/2025-06-22,Dukungan Gizi dan Nasionalisme,65,0.3125
2025-06-16/2025-06-22,Kritik Anggaran dan Implementasi,120,0.5769230769230769
2025-06-16/2025-06-22,Operasional dan Implementasi MBG,23,0.11057692307692307
2025-06-23/2025-06-29,Dukungan Gizi dan Nasionalisme,144,0.3150984682713348
2025-06-23/2025-06-29,Kritik Anggaran dan Implementasi,259,0.5667396061269147
2025-06-23/2025-06-29,Operasional dan Implementasi MBG,54,0.11816192560175055
2025-06-30/2025-07-06,Dukungan Gizi dan Nasionalisme,57,0.31666666666666665
2025-06-30/2025-07-06,Kritik Anggaran dan Implementasi,104,0.5777777777777777
2025-06-30/2025-07-06,Operasional dan Implementasi MBG,19,0.10555555555555556
2025-07-07/2025-07-13,Dukungan Gizi dan Nasionalisme,67,0.5075757575757576
2025-07-07/2025-07-13,Kritik Anggaran dan Implementasi,53,0.4015151515151515
2025-07-07/2025-07-13,Operasional dan Implementasi MBG,12,0.09090909090909091
2025-07-14/2025-07-20,Dukungan Gizi dan Nasionalisme,116,0.3841059602649007
2025-07-14/2025-07-20,Kritik Anggaran dan Implementasi,151,0.5
2025-07-14/2025-07-20,Operasional dan Implementasi MBG,35,0.11589403973509933
2025-07-21/2025-07-27,Dukungan Gizi dan Nasionalisme,62,0.2605042016806723
2025-07-21/2025-07-27,Kritik Anggaran dan Implementasi,139,0.5840336134453782
2025-07-21/2025-07-27,Operasional dan Implementasi MBG,37,0.15546218487394958
2025-07-28/2025-08-03,Dukungan Gizi dan Nasionalisme,110,0.3313253012048193
2025-07-28/2025-08-03,Kritik Anggaran dan Implementasi,171,0.5150602409638554
2025-07-28/2025-08-03,Operasional dan Implementasi MBG,51,0.1536144578313253
2025-08-04/2025-08-10,Dukungan Gizi dan Nasionalisme,98,0.35507246376811596
2025-08-04/2025-08-10,Kritik Anggaran dan Implementasi,141,0.5108695652173914
2025-08-04/2025-08-10,Operasional dan Implementasi MBG,37,0.13405797101449277
2025-08-11/2025-08-17,Dukungan Gizi dan Nasionalisme,108,0.34615384615384615
2025-08-11/2025-08-17,Kritik Anggaran dan Implementasi,178,0.5705128205128205
2025-08-11/2025-08-17,Operasional dan Implementasi MBG,26,0.08333333333333333
2025-08-18/2025-08-24,Dukungan Gizi dan Nasionalisme,56,0.1794871794871795
2025-08-18/2025-08-24,Kritik Anggaran dan Implementasi,232,0.7435897435897436
2025-08-18/2025-08-24,Operasional dan Implementasi MBG,24,0.07692307692307693
2025-08-25/2025-08-31,Dukungan Gizi dan Nasionalisme,19,0.05571847507331378
2025-08-25/2025-08-31,Kritik Anggaran dan Implementasi,287,0.841642228739003
2025-08-25/2025-08-31,Operasional dan Implementasi MBG,35,0.10263929618768329
2025-09-01/2025-09-07,Dukungan Gizi dan Nasionalisme,39,0.12074303405572756
2025-09-01/2025-09-07,Kritik Anggaran dan Implementasi,257,0.7956656346749226
2025-09-01/2025-09-07,Operasional dan Implementasi MBG,27,0.08359133126934984
2025-09-08/2025-09-14,Dukungan Gizi dan Nasionalisme,64,0.14414414414414414
2025-09-08/2025-09-14,Kritik Anggaran dan Implementasi,336,0.7567567567567568
2025-09-08/2025-09-14,Operasional dan Implementasi MBG,44,0.0990990990990991
2025-09-15/2025-09-21,Dukungan Gizi dan Nasionalisme,32,0.06852248394004283
2025-09-15/2025-09-21,Kritik Anggaran dan Implementasi,377,0.8072805139186295
2025-09-15/2025-09-21,Operasional dan Implementasi MBG,58,0.12419700214132762
2025-09-22/2025-09-28,Dukungan Gizi dan Nasionalisme,8,0.022284122562674095
2025-09-22/2025-09-28,Kritik Anggaran dan Implementasi,298,0.83008356545961
2025-09-22/2025-09-28,Operasional dan Implementasi MBG,53,0.14763231197771587
2025-09-29/2025-10-05,Dukungan Gizi dan Nasionalisme,38,0.12063492063492064
2025-09-29/2025-10-05,Kritik Anggaran dan Implementasi,227,0.7206349206349206
2025-09-29/2025-10-05,Operasional dan Implementasi MBG,50,0.15873015873015872
2025-10-06/2025-10-12,Dukungan Gizi dan Nasionalisme,103,0.19360902255639098
2025-10-06/2025-10-12,Kritik Anggaran dan Implementasi,336,0.631578947368421
2025-10-06/2025-10-12,Operasional dan Implementasi MBG,93,0.17481203007518797
2025-10-13/2025-10-19,Dukungan Gizi dan Nasionalisme,67,0.20615384615384616
2025-10-13/2025-10-19,Kritik Anggaran dan Implementasi,210,0.6461538461538462
2025-10-13/2025-10-19,Operasional dan Implementasi MBG,48,0.1476923076923077
2025-10-20/2025-10-26,Dukungan Gizi dan Nasionalisme,126,0.3181818181818182
2025-10-20/2025-10-26,Kritik Anggaran dan Implementasi,212,0.5353535353535354
2025-10-20/2025-10-26,Operasional dan Implementasi MBG,58,0.14646464646464646
2025-10-27/2025-11-02,Dukungan Gizi dan Nasionalisme,54,0.1261682242990654
2025-10-27/2025-11-02,Kritik Anggaran dan Implementasi,309,0.7219626168224299
2025-10-27/2025-11-02,Operasional dan Implementasi MBG,65,0.15186915887850466
2025-11-03/2025-11-09,Dukungan Gizi dan Nasionalisme,34,0.25
2025-11-03/2025-11-09,Kritik Anggaran dan Implementasi,82,0.6029411764705882
2025-11-03/2025-11-09,Operasional dan Implementasi MBG,20,0.14705882352941177
2025-11-10/2025-11-16,Dukungan Gizi dan Nasionalisme,21,0.21212121212121213
2025-11-10/2025-11-16,Kritik Anggaran dan Implementasi,66,0.6666666666666666
2025-11-10/2025-11-16,Operasional dan Implementasi MBG,12,0.12121212121212122
2025-11-17/2025-11-23,Dukungan Gizi dan Nasionalisme,15,0.11627906976744186
2025-11-17/2025-11-23,Kritik Anggaran dan Implementasi,102,0.7906976744186046
2025-11-17/2025-11-23,Operasional dan Implementasi MBG,12,0.09302325581395349
2025-11-24/2025-11-30,Dukungan Gizi dan Nasionalisme,12,0.1411764705882353
2025-11-24/2025-11-30,Kritik Anggaran dan Implementasi,64,0.7529411764705882
2025-11-24/2025-11-30,Operasional dan Implementasi MBG,9,0.10588235294117647
2025-12-01/2025-12-07,Dukungan Gizi dan Nasionalisme,39,0.16115702479338842
2025-12-01/2025-12-07,Kritik Anggaran dan Implementasi,178,0.7355371900826446
2025-12-01/2025-12-07,Operasional dan Implementasi MBG,25,0.10330578512396695
2025-12-08/2025-12-14,Dukungan Gizi dan Nasionalisme,9,0.06040268456375839
2025-12-08/2025-12-14,Kritik Anggaran dan Implementasi,119,0.7986577181208053
2025-12-08/2025-12-14,Operasional dan Implementasi MBG,21,0.14093959731543623
2025-12-15/2025-12-21,Kritik Anggaran dan Implementasi,3,0.75
2025-12-15/2025-12-21,Operasional dan Implementasi MBG,1,0.25
2025-12-22/2025-12-28,Dukungan Gizi dan Nasionalisme,14,0.09859154929577464
2025-12-22/2025-12-28,Kritik Anggaran dan Implementasi,120,0.8450704225352113
2025-12-22/2025-12-28,Operasional dan Implementasi MBG,8,0.056338028169014086
2025-12-29/2026-01-04,Dukungan Gizi dan Nasionalisme,3,0.5
2025-12-29/2026-01-04,Kritik Anggaran dan Implementasi,2,0.3333333333333333
2025-12-29/2026-01-04,Operasional dan Implementasi MBG,1,0.16666666666666666
